"Var1","Freq"
"Helmond",0
"Hendrik-Ido-Ambacht",0
"Hengelo",0
"Het Hogeland",0
"Heumen",0
"Heusden",0
"Hillegom",0
"Hilvarenbeek",0
"Hilversum",1
"Hoeksche Waard",0
"Hof van Twente",0
"Hollands Kroon",0
"Hoogeveen",0
"Hoorn",0
"Horst aan de Maas",0
"Houten",0
"Huizen",0
"Hulst",0
"IJsselstein",0
"Kaag en Braassem",0
"Kampen",1
"Kapelle",0
"Katwijk",0
"Kerkrade",0
"Koggenland",0
"Krimpen aan den IJssel",0
"Krimpenerwaard",0
"Laarbeek",0
"Landerd",0
"Landgraaf",0
"Landsmeer",1
"Langedijk",0
"Lansingerland",0
"Laren",0
"Leeuwarden",0
"Leiden",0
"Leiderdorp",0
"Leidschendam-Voorburg",0
"Lelystad",0
"Leudal",0
"Leusden",0
"Lingewaard",0
"Lisse",0
"Lochem",0
"Loon op Zand",0
"Lopik",0
"Loppersum",0
"Losser",0
"Maasdriel",0
"Maasgouw",0
"Maassluis",0
"Maastricht",0
"Medemblik",0
"Meerssen",0
"Meierijstad",0
"Meppel",0
"Middelburg",0
"Midden-Delfland",0
"Midden-Drenthe",0
"Midden-Groningen",0
"Mill en Sint Hubert",0
"Moerdijk",0
"Molenlanden",0
"Montferland",0
"Montfoort",0
"Mook en Middelaar",0
"Neder-Betuwe",0
"Nederweert",0
"Nieuwegein",0
"Nieuwkoop",0
"Nijkerk",0
"Nijmegen",0
"Nissewaard",0
"Noardeast-Fryslân",0
"Noord-Beveland",0
"Noordenveld",0
"Noordoostpolder",0
"Noordwijk",0
"Nuenen, Gerwen en Nederwetten",0
"Nunspeet",0
"Oegstgeest",0
"Oirschot",0
"Oisterwijk",0
"Oldambt",0
"Oldebroek",0
"Oldenzaal",0
"Olst-Wijhe",0
"Ommen",0
"Oost Gelre",0
"Oosterhout",0
"Ooststellingwerf",0
"Oostzaan",0
"Opmeer",0
"Opsterland",0
"Oss",0
"Oude IJsselstreek",0
"Ouder-Amstel",0
"Oudewater",0
"Overbetuwe",0
"Papendrecht",0
"Peel en Maas",0
"Pekela",0
"Pijnacker-Nootdorp",0
"Purmerend",0
"Putten",0
"Raalte",0
"Reimerswaal",0
"Renkum",0
"Renswoude",0
"Reusel-De Mierden",0
"Rheden",0
"Rhenen",0
"Ridderkerk",0
"Rijssen-Holten",0
"Rijswijk",0
"Roerdalen",0
"Roermond",0
"Roosendaal",0
"Rotterdam",0
"Rozendaal",0
"Rucphen",0
"Schagen",0
"Scherpenzeel",0
"Schiedam",0
"Schiermonnikoog",0
"Schouwen-Duiveland",0
"Simpelveld",0
"Sint-Michielsgestel",0
"Sint Anthonis",0
"Sittard-Geleen",0
"Sliedrecht",0
"Sluis",0
"Smallingerland",0
"Soest",0
"Someren",0
"Son en Breugel",0
"Stadskanaal",0
"Staphorst",0
"Stede Broec",0
"Steenbergen",0
"Steenwijkerland",0
"Stein",0
"Stichtse Vecht",0
"Súdwest-Fryslân",0
"Terneuzen",0
"Terschelling",0
"Texel",0
"Teylingen",0
"Tholen",0
"Tiel",0
"Tilburg",0
"Tubbergen",0
"Twenterand",0
"Tynaarlo",0
"Tytsjerksteradiel",0
"Uden",0
"Uitgeest",0
"Uithoorn",0
"Urk",0
"Utrecht",1
"Utrechtse Heuvelrug",0
"Vaals",0
"Valkenburg aan de Geul",0
"Valkenswaard",0
"Veendam",0
"Veenendaal",0
"Veere",0
"Veldhoven",0
"Velsen",0
"Venlo",0
"Venray",0
"Vijfheerenlanden",0
"Vlaardingen",0
"Vlieland",0
"Vlissingen",0
"Voerendaal",0
"Voorschoten",0
"Voorst",0
"Vught",0
"Waadhoeke",0
"Waalre",0
"Waalwijk",0
"Waddinxveen",0
"Wageningen",0
"Wassenaar",0
"Waterland",0
"Weert",0
"Weesp",0
"West Betuwe",0
"West Maas en Waal",0
"Westerkwartier",0
"Westerveld",0
"Westervoort",0
"Westerwolde",0
"Westland",0
"Weststellingwerf",0
"Westvoorne",0
"Wierden",0
"Wijchen",0
"Wijdemeren",0
"Wijk bij Duurstede",0
"Winterswijk",0
"Woensdrecht",0
"Woerden",0
"Wormerland",0
"Woudenberg",0
"Zaanstad",0
"Zaltbommel",0
"Zandvoort",0
"Zeewolde",0
"Zeist",0
"Zevenaar",0
"Zoetermeer",0
"Zoeterwoude",0
"Zuidplas",0
"Zundert",0
"Zutphen",0
"Zwartewaterland",0
"Zwijndrecht",0
"Zwolle",0
